       3AB  00 05.2 +45 14  A1Vn       6.702   0.102   0.058   0.053  4 2*
       6    00 05.1 -00 30  gG9        6.311   0.876   1.119   0.772  4 3
      14    00 05.3 +68 53  B9 ^       7.074  -0.046  -0.012  -0.026  4 4
      17    00 05.2 +35 34  A3III      6.889   0.103   0.152   0.091  4 4
      28    00 05.3 -05 42  K1III      4.630   0.717   1.060   0.775  3 3*
      37AB :00 05.5 +50 31  K0 ^       7.910   0.604   1.031   0.758  2 7*
      43    00 05.4 +03 36  K2III      6.912   0.857   1.126   0.778  6 2
      58    00 05.6 +53 10  K0 ^       7.248   1.015   1.206   0.841  4 4
      62    00 05.5 -07 40  K5 ^       6.978   1.637   1.473   1.107  4 3
      63    00 05.5 -09 37  F5 ^       7.126  -0.150   0.458   0.387  4 5
      71    00 05.7 +55 43  K0III      6.999   0.915   1.225   0.863  9 2
      87    00 05.7 +13 24  G5III      5.549   0.432   0.914   0.658  4 3
     100    00 05.9 +24 34  K5 ^       6.914   1.846   1.605   1.227  6 2
     108    00 06.1 +63 41  O6fpe:     7.365  -1.020   0.177   0.248 17 2*
     110    00 06.1 +40 25  G5 ^       6.660   0.401   0.928   0.681  4 3
     111    00 06.0 +28 17  K5III      6.607   1.684   1.583   1.136  6 2
     123AB  00 06.3 +58 26  G5V        5.992   0.047   0.693   0.553  8 2*
     134    00 06.3 +63 23  A7V        8.797   0.192   0.211   0.204  2 >
     144    00 06.4 +64 12  B9IIIe     5.582  -0.225  -0.024   0.020 23 2*
     145    00 06.3 +40 54  K0 ^       6.950   0.807   1.107   0.809  4 2
     166A   00 06.6 +29 01  K0V        6.089   0.153   0.760   0.595  6 4*
     167    00 06.6 +28 33  G9III      6.685   0.579   1.021   0.711  4 3
     249    00 07.4 +26 27  K1IV       7.348   0.620   1.012   0.766  8 2
     279    00 07.6 +40 05  K0 ^       7.397   0.666   1.027   0.720  2 7
     281AB  00 07.6 +31 40  G5 ^       6.881   0.914   1.134   0.796  5 3*
     290A   00 07.6 +40 09  G5 ^       6.750   0.500   0.966   0.727  5 3*
     313    00 07.8 +38 43  A3 ^       7.678   0.111   0.149   0.093    s
     315    00 07.7 -02 33  B8IIIpSi   6.446  -0.575  -0.135  -0.053  5 2
     332A   00 08.0 +31 23  A5 ^       7.139   0.118   0.164   0.143  4 2*
     341    00 08.2 +31 23  A3 ^       7.273   0.189   0.203   0.152  2 6*
     352    00 08.2 -02 27  K2III      6.234   1.052   1.424   1.093  7 v*
     358A   00 08.4 +29 05  B8IVpMnHg  2.067  -0.566  -0.087  -0.064 29 1*
     360    00 08.3 -08 49  gG8        5.995   0.662   1.055   0.758  4 1
     371    00 08.5 +63 12  G2/3II     6.430   0.551   1.047   0.801  7 3
     400    00 08.7 +36 38  F8IV       6.215  -0.165   0.503   0.431  6 3
     414    00 08.8 +40 30  K5 ^       6.828   1.756   1.607   1.198  4 4
     417    00 08.9 +25 28  K0III      6.263   0.546   1.001   0.735  4 3
     418A   00 08.8 +08 01  F0 ^       7.439  -0.061   0.311   0.267    s*
